Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->P2,W2_Energy_1_P1->P2,B4_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B5_ImaginaryFrequency_1_P1->P2,W1_Energy_1_P1->P2,B4_ImaginaryFrequency_1_P1->P2,B5_Frequencies_1_P1->P2,P2_Energy_1_P1->P2,B4_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,B4_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,B5_SymmetryFactor_1_P1->P2,B5_Energy_1_P1->P2,W2_Frequencies_1_P1->P2,W2_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2
1.0,200.0,0.9999785093239358,0.0,-2.5140771774391757,0.0,0.0,3.97448101146294,0.0,51.31534618925223,-0.03222197577932845,0.0,-0.6825294808735802,0.0,-0.9909641164618205,0.10412742812411718,0.0,-0.008390949058993794,-0.0017725732204478856,0.0,0.0,2.5161065141816543
1.0,210.0,1.0000006003324242,0.0,-2.3965807841295557,0.0,0.0,1.789158908189096,0.0,49.24982255679595,0.037822080632459606,0.0,-0.8367258010326976,0.0,-1.010098768260327,0.12258089816324841,0.0,0.009353040456490368,0.0004354168061180155,0.0,0.0,2.3962975353577587
1.0,220.0,1.000008142245244,0.0,-2.2878546013161087,0.0,0.0,0.7121137305663866,0.0,45.07292786722943,0.03308132246502352,0.0,-0.8850594451054739,0.0,-1.0088612522662395,0.14309942469966755,0.0,0.008221416067703645,0.0005672350975577808,0.0,0.0,2.2873753165866755
1.0,230.0,1.0000092401683778,0.0,-2.18799646397237,0.0,0.0,0.21243816934754353,0.0,40.11449474265912,0.009460943897533861,0.0,-0.9060933604961889,0.0,-1.0024838553074973,0.16451032701618037,0.0,0.0023199201028729372,0.00012194233439910166,0.0,0.0,2.1879227624430055
1.0,240.0,1.0000078389559697,0.0,-2.09641421055302,0.0,0.0,0.0063786737906571505,0.0,35.08444473475775,-0.011712076462340704,0.0,-0.9297799351610756,0.0,-0.9967708744655244,0.18646134123618863,0.0,-0.0029732935541221177,-0.00031956402355166907,0.0,0.0,2.0967575235180638
1.0,250.0,1.000005778675598,0.0,-2.012295446442376,0.0,0.0,-0.05690226912754463,0.0,30.342219239731847,-0.024322623496428462,0.0,-0.964670109766338,0.0,-0.993382617974778,0.20887554483090806,0.0,-0.00611742247335902,-0.0005813731559961437,0.0,0.0,2.012885701579548
1.0,260.0,1.000003847297111,0.0,-1.9348126472141989,0.0,0.0,-0.05642398777599117,0.0,26.05025273260481,-0.02842659378632641,0.0,-1.0106296470425409,0.0,-0.9923005137628536,0.23174089093099065,0.0,-0.007127138838698013,-0.0006531184741274382,0.0,0.0,1.935465948005134
1.0,270.0,1.0000023207786617,0.0,-1.86320473368326,0.0,0.0,-0.03241782532103122,0.0,22.26201756525702,-0.02614551231079535,0.0,-1.064620232825946,0.0,-0.9929455198629481,0.255039365575152,0.0,-0.006537013700733664,-0.0005811966397586657,0.0,0.0,1.863781389434368
1.0,280.0,1.0000012386612875,0.0,-1.7968022095736997,0.0,0.0,-0.004312732834045488,0.0,18.972671727475056,-0.019905854934875195,0.0,-1.123181854049463,0.0,-0.994657161836219,0.27873118811200265,0.0,-0.004957759189623023,-0.00042198706824422274,0.0,0.0,1.797217490164599
1.0,290.0,1.000000542533512,0.0,-1.7350277408091879,0.0,0.0,0.019439636066155425,0.0,16.148115479076615,-0.01177179744444846,0.0,-1.1833747569089306,0.0,-0.9968746511956605,0.3027581862848645,0.0,-0.0029083010192450954,-0.00022396250258480173,0.0,0.0,1.7352444530084186
1.0,300.0,1.0000001434441714,0.0,-1.6773871585230344,0.0,0.0,0.036006130383072654,0.0,13.741494613770517,-0.0032683237182329554,0.0,-1.2430294767671006,0.0,-0.9991845542960786,0.32705185412310456,0.0,-0.0007714525916770257,-2.275784408332822e-05,0.0,0.0,1.6774031180150426
1.0,310.0,0.9999999527868576,0.0,-1.6234577345286896,0.0,0.0,0.04527199913996297,0.0,11.702378885783283,0.004592614718175128,0.0,-1.3007097471267812,0.0,-1.0013133075014182,0.35154081116117564,0.0,0.0011992939694738284,0.00015838241150761814,0.0,0.0,1.623293579012395
1.0,320.0,0.9999998947427562,0.0,-1.572876681056296,0.0,0.0,0.04829727727013846,0.0,9.98166888586131,0.011216230992750055,0.0,-1.3555764868466602,0.0,-1.003100879337249,0.37615619485884677,0.0,0.0028554768657498256,0.00030629180921305126,0.0,0.0,1.572565928686973
1.0,330.0,0.9999999097336514,0.0,-1.5253309888385604,0.0,0.0,0.04651990692168756,0.0,8.53402672926277,0.01631807346662132,0.0,-1.4072359679362616,0.0,-1.004471547417812,0.40083497148556846,0.0,0.004126668391815759,0.00041525182617418223,0.0,0.0,1.5249126834919737
1.0,340.0,0.9999999537770684,0.0,-1.4805488803950264,0.0,0.0,0.041366650607678926,0.0,7.318890630535586,0.019829446939732216,0.0,-1.455605118363599,0.0,-1.0054080811435504,0.42552160476783124,0.0,0.004996607797236606,0.00048465616080256395,0.0,0.0,1.4800625440188595
1.0,350.0,0.99999999622501,0.0,-1.4382928000949595,0.0,0.0,0.03408310281032493,0.0,6.3006998475353555,0.021821940715211267,0.0,-1.5008037807649355,0.0,-1.005931172763455,0.4501685792174893,0.0,0.005484176986840199,0.0005171519362367439,0.0,0.0,1.4377752245107265
1.0,360.0,1.000000017098523,0.0,-1.3983537347031805,0.0,0.0,0.025678018500224862,0.0,5.448699056627806,0.022450881328079344,0.0,-1.543073760820779,0.0,-1.0060840492031267,0.4747361967378808,0.0,0.005629162191464219,0.0005172557567414783,0.0,0.0,1.3978371440165933
1.0,370.0,1.000000004569362,0.0,-1.3605466331042193,0.0,0.0,0.016924229536878346,0.0,4.736537700411934,0.021914915589588108,0.0,-1.58272076982911,0.0,-1.0059214913043486,0.499191957753067,0.0,0.005482089617682213,0.0004903741168940876,0.0,0.0,1.3600578163564534
1.0,380.0,0.9999999528031762,0.0,-1.3247067115919926,0.0,0.0,0.008384831702855712,0.0,4.141788116606648,0.0204283310557826,0.0,-1.6200744917160297,0.0,-1.0055023283968798,0.523509741125594,0.0,0.005097274841248327,0.0004421419188684553,0.0,0.0,1.3242668102442936
1.0,390.0,0.9999998602136007,0.0,-1.290686463180405,0.0,0.0,0.0004481115661484344,0.0,3.645451512246993,0.018202963165306132,0.0,-1.655462327878727,0.0,-1.004884545121335,0.547668921410295,0.0,0.004528288661262408,0.0003779990351254698,0.0,0.0,1.2903111772538625
1.0,400.0,0.9999997281015957,0.0,-1.258353223158546,0.0,0.0,-0.00663710156454816,0.0,3.23148835065633,0.01543706681275928,0.0,-1.6891931086155647,0.0,-1.004122283446253,0.5716535073171768,0.0,0.0038251766793515893,0.0003029384653604603,0.0,0.0,1.2580532657493813
1.0,410.0,0.9999995596253906,0.0,-1.2275871734727886,0.0,0.0,-0.012729473452640423,0.0,2.886390639081085,0.012309096727982995,0.0,-1.7215478544095537,0.0,-1.0032641785065008,0.5954513478246992,0.0,0.00303291356611159,0.00022137420849606548,0.0,0.0,1.2273688548683461
1.0,420.0,0.9999993590400782,0.0,-1.1982796939028821,0.0,0.0,-0.017768003878676095,0.0,2.598802617828595,0.008974845981173133,0.0,-1.7527753812390083,0.0,-1.0023526052824667,0.6190534278755667,0.0,0.002190700813081928,0.00013708991979061554,0.0,0.0,1.19814555519466
1.0,430.0,0.999999131149901,0.0,-1.1703319884094163,0.0,0.0,-0.02174984888486781,0.0,2.3591902309899195,0.005566805164951391,0.0,-1.7830911275632544,0.0,-1.001423526211918,0.6424532602537677,0.0,0.0013318212648636579,5.323998228155547e-05,0.0,0.0,1.1702814326880984
1.0,440.0,0.9999988809242474,0.0,-1.1436539310717349,0.0,0.0,-0.024712728407174683,0.0,2.1595565433562447,0.002194926860733237,0.0,-1.8126780365087696,0.0,-1.0005067178418503,0.6656463711742637,0.0,0.00048384509334121567,-2.7617183464487275e-05,0.0,0.0,1.143683820334823
1.0,450.0,0.9999986132372041,0.0,-1.1181630884754898,0.0,0.0,-0.02672129204604744,0.0,1.9931987646753604,-0.0010517768797374356,0.0,-1.8416886717504297,0.0,-0.9996262210002261,0.6886298721886908,0.0,-0.0003309567477009528,-0.00010346759107995902,0.0,0.0,1.118268288303267
1.0,460.0,0.9999983326987425,0.0,-1.0937838849832036,0.0,0.0,-0.02785676871612091,0.0,1.8545020258274167,-0.00410319695267751,0.0,-1.870248000687962,0.0,-0.9988009078814006,0.7114021087274623,0.0,-0.0010950903061108376,-0.00017278144539507523,0.0,0.0,1.0939577484729885
1.0,470.0,0.9999980435527255,0.0,-1.0704468846624726,0.0,0.0,-0.02820926731387225,0.0,1.7387650831966308,-0.006905912529710878,0.0,-1.8984564637688581,0.0,-0.9980450948306686,0.7339623749416538,0.0,-0.001795273627896334,-0.0002344504390349011,0.0,0.0,1.0706816733137978
1.0,480.0,0.9999977496227506,0.0,-1.048088169270353,0.0,0.0,-0.027872174040665425,0.0,1.6420534444782944,-0.009420969716240929,0.0,-1.9263930812219667,0.0,-0.9973691548101816,0.7563106847994109,0.0,-0.0024218716240978805,-0.00028772654496262497,0.0,0.0,1.0483754124313989
1.0,490.0,0.9999974542915272,0.0,-1.0266487960056192,0.0,0.0,-0.026938180528603736,0.0,1.5610758560425764,-0.011621758994345397,0.0,-1.9541184416851602,0.0,-0.9967801011869589,0.7784475901920463,0.0,-0.0029683571194083313,-0.0003321646640078183,0.0,0.0,1.0269795928211465
1.0,500.0,0.9999971605031309,0.0,-1.006074322057489,0.0,0.0,-0.025496561969607312,0.0,1.4930805792423834,-0.013492052068726695,0.0,-1.981677481793289,0.0,-0.9962821266521539,0.8003740378374858,0.0,-0.0034308131263637754,-0.000367570396991611,0.0,0.0,1.0064395911060997
1.0,510.0,0.9999968707802951,0.0,-0.9863143855403878,0.0,0.0,-0.023631400093961176,0.0,1.4357683611620826,-0.015024228387968377,0.0,-2.0091020097161527,0.0,-0.9958770893020009,0.8220912578648343,0.0,-0.003807483773344949,-0.00039395348478738287,0.0,0.0,0.9867050678755485
1.0,520.0,0.9999965872510486,0.0,-0.9673223343915869,0.0,0.0,-0.021420510159781407,0.0,1.3872194487723795,-0.01621770157144745,0.0,-2.036412954826877,0.0,-0.9955649433277477,0.8436006780261641,0.0,-0.00409837629427971,-0.00041148698973124994,0.0,0.0,0.9677295557615622
1.0,530.0,0.9999963116806245,0.0,-0.9490548963597388,0.0,0.0,-0.01893488422408101,0.0,1.345832393028664,-0.017077543172442186,0.0,-2.063622344485029,0.0,-0.9953441152100728,0.8649038584583634,0.0,-0.004304913289939202,-0.00042047200044617453,0.0,0.0,0.9494700941539665
1.0,540.0,0.9999960455057689,0.0,-0.9314718844310376,0.0,0.0,-0.01623850593924761,0.0,1.310272738059859,-0.017613293432820788,0.0,-2.0907350204902317,0.0,-0.9952118283975613,0.8860024427857298,0.0,-0.004429632535774097,-0.00042130747335778824,0.0,0.0,0.9318869045064309
1.0,550.0,0.9999957898694803,0.0,-0.9145359330040855,0.0,0.0,-0.013388426372313984,0.0,1.279429991685877,-0.017837944343476814,0.0,-2.1177501143689024,0.0,-0.9951643806021595,0.9068981221069181,0.0,-0.004475930538393134,-0.0004144647380284257,0.0,0.0,0.9149431010663118
